전체: 2156
완료: 937
미완: 1219

CT:  Current Time
ET:  Elasped Time
ETC: Estimated Time of Completion

                                CT                      ET      ETC
processing data ... 279/1219    2024-02-22 16:01:20     1.79    2024-02-22 16:29:24
processing data ... 280/1219    2024-02-22 16:01:22     1.68    2024-02-22 16:27:37
processing data ... 281/1219    2024-02-22 16:01:24     1.71    2024-02-22 16:28:03
processing data ... 282/1219    2024-02-22 16:01:25     1.71    2024-02-22 16:28:04
processing data ... 283/1219    2024-02-22 16:01:27     1.84    2024-02-22 16:30:13
processing data ... 284/1219    2024-02-22 16:01:29     1.95    2024-02-22 16:31:48
processing data ... 285/1219    2024-02-22 16:01:30     1.29    2024-02-22 16:21:34
processing data ... 286/1219    2024-02-22 16:01:32     1.58    2024-02-22 16:26:07
processing data ... 287/1219    2024-02-22 16:01:33     1.33    2024-02-22 16:22:17
processing data ... 288/1219    2024-02-22 16:01:35     1.3     2024-02-22 16:21:43
processing data ... 289/1219    2024-02-22 16:01:36     1.44    2024-02-22 16:23:58
processing data ... 290/1219    2024-02-22 16:01:37     1.21    2024-02-22 16:20:26
processing data ... 291/1219    2024-02-22 16:01:38     1.0     2024-02-22 16:17:07
processing data ... 292/1219    2024-02-22 16:01:40     1.59    2024-02-22 16:26:14
processing data ... 293/1219    2024-02-22 16:01:41     1.24    2024-02-22 16:20:51
processing data ... 294/1219    2024-02-22 16:01:43     2.08    2024-02-22 16:33:45
processing data ... 295/1219    2024-02-22 16:01:45     1.49    2024-02-22 16:24:39
processing data ... 296/1219    2024-02-22 16:01:46     1.47    2024-02-22 16:24:21
processing data ... 297/1219    2024-02-22 16:01:47     1.29    2024-02-22 16:21:37
processing data ... 298/1219    2024-02-22 16:01:48     0.93    2024-02-22 16:16:07
processing data ... 299/1219    2024-02-22 16:01:49     1.0     2024-02-22 16:17:11
processing data ... 300/1219    2024-02-22 16:01:51     1.55    2024-02-22 16:25:31
processing data ... 301/1219    2024-02-22 16:01:52     1.22    2024-02-22 16:20:33
processing data ... 302/1219    2024-02-22 16:01:54     1.62    2024-02-22 16:26:41
processing data ... 303/1219    2024-02-22 16:02:01     7.36    2024-02-22 17:54:26
processing data ... 304/1219    2024-02-22 16:02:07     5.72    2024-02-22 17:29:19
processing data ... 305/1219    2024-02-22 16:02:08     1.61    2024-02-22 16:26:35
processing data ... 306/1219    2024-02-22 16:02:10     1.27    2024-02-22 16:21:33
processing data ... 307/1219    2024-02-22 16:02:13     3.49    2024-02-22 16:55:12
processing data ... 308/1219    2024-02-22 16:02:17     4.36    2024-02-22 17:08:25
processing data ... 309/1219    2024-02-22 16:02:25     7.73    2024-02-22 17:59:42
processing data ... 310/1219    2024-02-22 16:02:33     7.83    2024-02-22 18:01:08
processing data ... 311/1219    2024-02-22 16:02:35     1.58    2024-02-22 16:26:26
processing data ... 312/1219    2024-02-22 16:02:38     3.64    2024-02-22 16:57:40
processing data ... 313/1219    2024-02-22 16:02:40     1.37    2024-02-22 16:23:21
processing data ... 314/1219    2024-02-22 16:02:50     10.59   2024-02-22 18:42:34
processing data ... 315/1219    2024-02-22 16:03:00     9.94    2024-02-22 18:32:44
processing data ... 316/1219    2024-02-22 16:03:02     2.35    2024-02-22 16:38:22
processing data ... 317/1219    2024-02-22 16:03:05     2.12    2024-02-22 16:34:58
processing data ... 318/1219    2024-02-22 16:03:06     1.55    2024-02-22 16:26:22
processing data ... 319/1219    2024-02-22 16:03:07     1.12    2024-02-22 16:19:53
processing data ... 320/1219    2024-02-22 16:03:15     7.72    2024-02-22 17:58:59
processing data ... 321/1219    2024-02-22 16:03:23     7.59    2024-02-22 17:57:02
processing data ... 322/1219    2024-02-22 16:03:26     3.48    2024-02-22 16:55:30
processing data ... 323/1219    2024-02-22 16:03:28     1.48    2024-02-22 16:25:33
processing data ... 324/1219    2024-02-22 16:03:29     1.44    2024-02-22 16:24:55
processing data ... 325/1219    2024-02-22 16:03:30     1.43    2024-02-22 16:24:46
processing data ... 326/1219    2024-02-22 16:03:32     1.5     2024-02-22 16:25:50
processing data ... 327/1219    2024-02-22 16:03:37     5.22    2024-02-22 17:21:13
processing data ... 328/1219    2024-02-22 16:03:38     1.32    2024-02-22 16:23:15
processing data ... 329/1219    2024-02-22 16:03:39     1.0     2024-02-22 16:18:28
processing data ... 330/1219    2024-02-22 16:03:41     1.39    2024-02-22 16:24:16
processing data ... 331/1219    2024-02-22 16:03:42     1.43    2024-02-22 16:24:50
processing data ... 332/1219    2024-02-22 16:03:45     3.07    2024-02-22 16:49:07
processing data ... 333/1219    2024-02-22 16:03:47     1.65    2024-02-22 16:28:11
